Selection,View,channel,begin_time,end_time,Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Agg Entropy (bits),Center Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Max Freq (Hz),Annotation,filename,StartMicInWater,EndMicInWater,filepath,label,call_length,split_type,date_str
25,Spectrogram 1,1,149.216774986,151.807657455,2453.674,3987.22,0.3162,1533.546,-39.36,1.711,3187.5,3937.5,2625.0,3187.5,Y,211210_0079,40.639841032,346.657717273,annotations,0,2.5908824690000074,train,211210
26,Spectrogram 1,1,152.12383387100002,153.991775051,1993.61,3220.447,0.2721,1226.837,-38.01,1.9,2625.0,2625.0,2250.0,2250.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,1.867941179999974,train,211210
27,Spectrogram 1,1,154.263833827,156.100888375,2503.597,3527.157,0.2806,1023.56,-41.16,1.547,3187.5,3375.0,2812.5,3000.0,N,211210_0079,40.639841032,346.657717273,annotations,0,1.8370545479999976,train,211210
28,Spectrogram 1,1,156.381480519,159.719715233,1381.295,3107.914,0.3456,1726.619,-45.1,2.298,2625.0,3000.0,1500.0,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,3.3382347139999813,val,211210
29,Spectrogram 1,1,160.065303408,162.687182866,1993.61,3220.447,0.3456,1226.837,-37.62,1.499,2625.0,2625.0,2062.5,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,2.621879457999995,val,211210
30,Spectrogram 1,1,163.03277104100002,163.11365338,2607.029,4143.885,0.2843,1536.856,-43.55,2.6010000000000004,3000.0,4125.0,2625.0,2812.5,Y,211210_0079,40.639841032,346.657717273,annotations,0,0.0808823389999702,val,211210
31,Spectrogram 1,1,163.39796875,166.348946936,1993.61,3220.447,0.3088,1226.837,-34.49,1.381,2625.0,2625.0,2062.5,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,2.9509781860000146,val,211210
32,Spectrogram 1,1,166.65777041200002,171.950010373,1993.61,3220.447,0.3162,1226.837,-36.38,1.352,2625.0,2625.0,2062.5,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,5.292239960999979,val,211210
33,Spectrogram 1,1,172.26618678900002,172.40704325299996,2762.59,6561.151,0.3107,3798.561,-48.84,3.833,5437.5,6375.0,3000.0,3375.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,0.1408564639999667,train,211210
34,Spectrogram 1,1,172.71771157599997,176.058245478,1686.901,2760.383,0.2647,1073.482,-35.12,1.152,2625.0,2625.0,1687.5,2625.0,N,211210_0079,40.639841032,346.657717273,annotations,0,3.3405339020000326,train,211210
35,Spectrogram 1,1,176.322951315,178.91118616,2300.319,3527.157,0.3172,1226.838,-40.1,1.519,2625.0,3000.0,2437.5,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,2.588234844999989,train,211210
36,Spectrogram 1,1,179.22842170799996,179.87442128700005,2453.674,3373.802,0.2917,920.128,-44.41,1.537,3000.0,3187.5,2625.0,3000.0,N,211210_0079,40.639841032,346.657717273,annotations,0,0.6459995790000335,val,211210
37,Spectrogram 1,1,180.166159731,184.076480801,2300.319,3680.511,0.3088,1380.192,-42.7,1.683,2625.0,3562.5,2437.5,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,3.9103210699999806,val,211210
38,Spectrogram 1,1,184.385304276,184.473539555,2607.029,3833.866,0.1691,1226.837,-42.33,1.715,3187.5,3187.5,3000.0,3187.5,Y,211210_0079,40.639841032,346.657717273,annotations,0,0.0882352790000311,val,211210
39,Spectrogram 1,1,184.642657173,188.604188874,4753.9940000000015,5827.476,0.2279,1073.482,-31.64,2.036,5250.0,5625.0,4875.0,5250.0,N,211210_0079,40.639841032,346.657717273,annotations,0,3.9615317010000126,val,211210
40,Spectrogram 1,1,188.832130011,194.861623903,1812.95,3373.802,0.3248,1560.852,-38.94,2.21,2625.0,3000.0,1875.0,2250.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,6.029493892000005,train,211210
41,Spectrogram 1,1,195.186417712,195.748833589,3220.447,4447.2840000000015,0.375,1226.837,-50.32,2.0780000000000003,3562.5,4125.0,3375.0,3375.0,N,211210_0079,40.639841032,346.657717273,annotations,0,0.5624158770000065,train,211210
42,Spectrogram 1,1,196.123833524,198.366480193,1840.256,3067.093,0.3222,1226.837,-44.99,1.803,2625.0,2625.0,1875.0,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,2.2426466689999813,train,211210
43,Spectrogram 1,1,198.688712569,203.192951054,2158.273,3280.576,0.3309,1122.302,-39.08,1.945,2625.0,3187.5,2250.0,3187.5,N,211210_0079,40.639841032,346.657717273,annotations,0,4.504238485000002,val,211210
44,Spectrogram 1,1,203.52383335,207.551186377,1812.95,3067.093,0.3456,1254.143,-31.82,1.3869999999999998,2625.0,2812.5,1875.0,2625.0,Y,211210_0079,40.639841032,346.657717273,annotations,0,4.027353027000031,train,211210
45,Spectrogram 1,1,207.896774552,218.240631589,3220.447,3833.866,0.125,613.419,-43.16,0.495,3375.0,3750.0,3375.0,3375.0,N,211210_0079,40.639841032,346.657717273,annotations,0,10.343857036999992,train,211210
46,Spectrogram 1,1,218.365631567,220.211219482,2146.965,3220.447,0.3162,1073.482,-52.36,2.092,2625.0,3187.5,2250.0,2250.0,N,211210_0079,40.639841032,346.657717273,annotations,0,1.84558791500001,val,211210
47,Spectrogram 1,1,220.527395898,228.633549325,4447.2840000000015,5060.703,0.2426,613.419,-50.69,0.349,4875.0,4875.0,4500.0,4875.0,N,211210_0079,40.639841032,346.657717273,annotations,0,8.10615342700001,val,211210
48,Spectrogram 1,1,228.876196341,232.442372193,1993.61,3220.447,0.1765,1226.837,-54.03,2.526,2437.5,3000.0,2062.5,2625.0,N,211210_0079,40.639841032,346.657717273,annotations,0,3.5661758519999864,val,211210
49,Spectrogram 1,1,232.61884275,243.849350874,3373.802,4140.575,0.1838,766.773,-52.38,1.663,3562.5,4125.0,3375.0,3562.5,N,211210_0079,40.639841032,346.657717273,annotations,0,11.23050812400001,val,211210
50,Spectrogram 1,1,244.033174372,246.890598527,4447.2840000000015,5060.703,0.2279,613.419,-57.87,1.2819999999999998,4875.0,4875.0,4500.0,4875.0,N,211210_0079,40.639841032,346.657717273,annotations,0,2.8574241549999897,val,211210
51,Spectrogram 1,1,247.118539664,247.567961604,7207.6680000000015,7821.085999999998,0.2574,613.418,-57.07,1.545,7500.0,7687.5,7312.5,7312.5,N,211210_0079,40.639841032,346.657717273,annotations,0,0.4494219399999793,train,211210
52,Spectrogram 1,1,247.8253145,253.012657347,6287.54,7361.022,0.1618,1073.482,-57.21,2.267,6937.5,7312.5,6375.0,6937.5,N,211210_0079,40.639841032,346.657717273,annotations,0,5.187342847000026,train,211210
53,Spectrogram 1,1,253.174422024,262.339421699,3220.447,4057.554,0.2132,837.107,-49.72,1.398,3562.5,3562.5,3375.0,3562.5,Y,211210_0079,40.639841032,346.657717273,annotations,0,9.16499967499999,train,211210
54,Spectrogram 1,1,262.552656956,283.680907282,4600.639,5367.411999999998,0.2059,766.773,-48.22,1.515,5062.5,5250.0,4687.5,5062.5,N,211210_0079,40.639841032,346.657717273,annotations,0,21.128250326000053,train,211210
55,Spectrogram 1,1,283.886789599,309.258726915,6900.958000000001,7667.732,0.2868,766.7739999999999,-48.67,1.996,7312.5,7500.0,6937.5,6937.5,N,211210_0079,40.639841032,346.657717273,annotations,0,25.37193731600001,val,211210
56,Spectrogram 1,1,309.545491571,322.413302202,1840.256,3067.093,0.1691,1226.837,-55.37,2.059,1875.0,3000.0,1875.0,1875.0,N,211210_0079,40.639841032,346.657717273,annotations,0,12.867810631000054,val,211210
57,Spectrogram 1,1,322.582419819,327.132989784,2607.029,3833.866,0.2132,1226.837,-54.51,2.628,3000.0,3750.0,2625.0,3750.0,N,211210_0079,40.639841032,346.657717273,annotations,0,4.5505699650000215,train,211210
58,Spectrogram 1,1,327.346225042,330.520420058,4753.9940000000015,5827.476,0.1838,1073.482,-51.25,1.529,5625.0,5812.5,4875.0,5625.0,N,211210_0079,40.639841032,346.657717273,annotations,0,3.1741950159999988,train,211210
59,Spectrogram 1,1,330.704243556,333.072248434,4753.9940000000015,5827.476,0.2206,1073.482,-38.64,1.867,5437.5,5625.0,4875.0,5437.5,N,211210_0079,40.639841032,346.657717273,annotations,0,2.368004878000022,train,211210
60,Spectrogram 1,1,333.292836631,336.206808417,5060.703,5827.476,0.2132,766.773,-43.27,1.449,5437.5,5437.5,5250.0,5437.5,N,211210_0079,40.639841032,346.657717273,annotations,0,2.9139717859999905,val,211210
61,Spectrogram 1,1,336.420043674,340.080067466,5214.058,6134.185,0.1985,920.127,-41.33,1.348,5437.5,5625.0,5250.0,5437.5,N,211210_0079,40.639841032,346.657717273,annotations,0,3.660023792000004,train,211210
62,Spectrogram 1,1,340.278596843,342.396243534,2300.319,3220.447,0.2353,920.128,-58.68,2.167,2812.5,3187.5,2437.5,3187.5,N,211210_0079,40.639841032,346.657717273,annotations,0,2.1176466910000045,val,211210
63,Spectrogram 1,1,342.631537611,346.415070257,4907.348,5827.476,0.2426,920.128,-39.69,1.368,5437.5,5625.0,5062.5,5437.5,,211210_0079,40.639841032,346.657717273,annotations,0,3.7835326459999687,train,211210
2,Spectrogram 1,1,41.902211101,168.754677875,8615.385,9538.462,0.1324,923.077,-60.06,2.062,8812.5,9375.0,8625.0,8812.5,N,211212_0081,41.733093484,242.939507422,annotations,0,126.852466774,train,211212
3,Spectrogram 1,1,168.88703079299998,172.775293379,3538.462,4307.692,0.2132,769.23,-51.57,1.78,3750.0,4125.0,3562.5,3562.5,N,211212_0081,41.733093484,242.939507422,annotations,0,3.8882625860000246,val,211212
4,Spectrogram 1,1,172.98852863599998,173.76058732599998,4000.0,4769.231,0.1985,769.2310000000001,-58.65,1.917,4500.0,4687.5,4125.0,4687.5,N,211212_0081,41.733093484,242.939507422,annotations,0,0.7720586899999944,train,211212
5,Spectrogram 1,1,173.959116703,177.40764551599997,4153.846,5179.856,0.1691,1026.01,-58.43,1.815,4687.5,5062.5,4312.5,4500.0,N,211212_0081,41.733093484,242.939507422,annotations,0,3.4485288129999674,val,211212
6,Spectrogram 1,1,177.576763134,180.881872471,4153.846,4769.231,0.1691,615.385,-50.89,1.356,4312.5,4687.5,4312.5,4312.5,N,211212_0081,41.733093484,242.939507422,annotations,0,3.305109336999976,train,211212
7,Spectrogram 1,1,181.050990089,186.239548949,4769.231,5384.615,0.1765,615.384,-54.23,1.461,5062.5,5250.0,4875.0,5062.5,N,211212_0081,41.733093484,242.939507422,annotations,0,5.1885588600000005,val,211212
8,Spectrogram 1,1,186.416019506,187.166019376,3230.769,3846.154000000002,0.1838,615.385,-43.92,1.391,3562.5,3750.0,3375.0,3750.0,N,211212_0081,41.733093484,242.939507422,annotations,0,0.7499998699999821,train,211212
9,Spectrogram 1,1,187.349842874,190.28037416900003,3384.615,4153.846,0.2647,769.2310000000001,-55.77,1.857,3937.5,4125.0,3562.5,3937.5,N,211212_0081,41.733093484,242.939507422,annotations,0,2.9305312950000086,train,211212
10,Spectrogram 1,1,190.545080005,192.473363271,3539.568,5384.615,0.0933,1845.047,-52.37,2.8,4500.0,5250.0,4125.0,4875.0,N,211212_0081,41.733093484,242.939507422,annotations,0,1.9282832659999944,train,211212
11,Spectrogram 1,1,192.566637391,195.486850933,2676.259,4153.846,0.2605,1477.5870000000002,-54.58,2.693,3562.5,4125.0,3000.0,3750.0,Y,211212_0081,41.733093484,242.939507422,annotations,0,2.9202135420000275,train,211212
12,Spectrogram 1,1,195.74733447,196.244559961,6461.538000000001,7076.923000000002,0.1912,615.385,-56.11,1.432,6937.5,6937.5,6562.5,6937.5,N,211212_0081,41.733093484,242.939507422,annotations,0,0.4972254909999947,val,211212
13,Spectrogram 1,1,196.435736399,201.742009983,2071.942,3798.561,0.1918,1726.619,-50.68,2.707,2437.5,3562.5,2250.0,2437.5,Y,211212_0081,41.733093484,242.939507422,annotations,0,5.306273583999996,train,211212
14,Spectrogram 1,1,201.933858288,207.747598245,3230.769,3846.154000000002,0.1324,615.385,-37.79,1.186,3562.5,3750.0,3375.0,3750.0,Y,211212_0081,41.733093484,242.939507422,annotations,0,5.813739957000023,val,211212
15,Spectrogram 1,1,207.879951163,210.416715428,3280.576,4461.538,0.2059,1180.962,-40.64,2.184,3937.5,4312.5,3562.5,4312.5,Y,211212_0081,41.733093484,242.939507422,annotations,0,2.5367642650000164,train,211212
16,Spectrogram 1,1,210.622597746,210.74284823,3076.923,3971.223,0.1812,894.3,-51.09,1.775,3562.5,3750.0,3187.5,3562.5,Y,211212_0081,41.733093484,242.939507422,annotations,0,0.120250483999996,val,211212
17,Spectrogram 1,1,210.924068282,213.23348064900003,1538.4620000000002,2153.846,0.1397,615.384,-54.65,1.445,1875.0,2062.5,1687.5,2062.5,N,211212_0081,41.733093484,242.939507422,annotations,0,2.309412367000021,train,211212
18,Spectrogram 1,1,213.373186507,216.012891931,1846.154,2461.538,0.1618,615.384,-51.23,1.582,1875.0,2437.5,1875.0,1875.0,N,211212_0081,41.733093484,242.939507422,annotations,0,2.6397054239999704,train,211212
19,Spectrogram 1,1,216.174656609,219.067304276,3846.154000000002,4307.692,0.1838,461.538,-40.97,1.0,3937.5,4125.0,3937.5,3937.5,N,211212_0081,41.733093484,242.939507422,annotations,0,2.892647666999977,train,211212
20,Spectrogram 1,1,219.25112777400005,220.052598223,3076.923,3846.154000000002,0.1765,769.2310000000001,-54.52,1.836,3562.5,3750.0,3187.5,3187.5,N,211212_0081,41.733093484,242.939507422,annotations,0,0.8014704489999644,train,211212
21,Spectrogram 1,1,220.229068781,222.015833176,3539.568,5384.615,0.3149,1845.047,-49.87,2.638,4500.0,5062.5,3750.0,4500.0,Y,211212_0081,41.733093484,242.939507422,annotations,0,1.7867643949999774,train,211212
22,Spectrogram 1,1,222.33077326,227.820086336,4000.0,4769.231,0.25,769.2310000000001,-42.09,1.717,4312.5,4687.5,4312.5,4687.5,Y,211212_0081,41.733093484,242.939507422,annotations,0,5.4893130759999735,val,211212
23,Spectrogram 1,1,228.070086293,230.524157936,4000.0,5352.518,0.2592,1352.5179999999998,-47.15,2.5860000000000003,4500.0,5250.0,4125.0,4125.0,N,211212_0081,41.733093484,242.939507422,annotations,0,2.454071642999992,val,211212
24,Spectrogram 1,1,230.783321116,231.481850406,2923.077,3538.462,0.3088,615.385,-54.39,0.541,3375.0,3375.0,3000.0,3375.0,N,211212_0081,41.733093484,242.939507422,annotations,0,0.6985292899999821,train,211212
25,Spectrogram 1,1,231.790673882,233.179068998,4153.846,4769.231,0.2279,615.385,-54.88,1.493,4500.0,4687.5,4312.5,4312.5,N,211212_0081,41.733093484,242.939507422,annotations,0,1.3883951159999697,train,211212
26,Spectrogram 1,1,233.407010135,236.157010178,3076.923,4230.215999999999,0.2353,1153.293,-45.87,1.5419999999999998,3562.5,4125.0,3375.0,3562.5,Y,211212_0081,41.733093484,242.939507422,annotations,0,2.750000042999972,val,211212
27,Spectrogram 1,1,236.392304255,236.936421807,4153.846,5007.194,0.2343,853.3480000000002,-41.38,1.3630000000000002,4687.5,4687.5,4312.5,4687.5,Y,211212_0081,41.733093484,242.939507422,annotations,0,0.5441175520000172,train,211212
28,Spectrogram 1,1,237.170755008,242.659685064,2503.597,3971.223,0.2798,1467.626,-54.42,2.204,3562.5,3937.5,2625.0,3562.5,,211212_0081,41.733093484,242.939507422,annotations,0,5.488930056000014,val,211212
2,Spectrogram 1,1,12.39660711,31.576049543000003,4461.538,5230.769,0.1985,769.2310000000001,-53.78,1.936,4687.5,5062.5,4500.0,4500.0,N,211212_0082,12.250033493,486.345223551,annotations,0,19.17944243300001,val,211212
3,Spectrogram 1,1,31.77457892,35.421637111,3538.462,4000.0,0.1471,461.538,-58.66,1.072,3562.5,3937.5,3562.5,3562.5,N,211212_0082,12.250033493,486.345223551,annotations,0,3.6470581910000033,val,211212
4,Spectrogram 1,1,35.568695909,50.01141942,4307.692,4769.231,0.1985,461.539,-58.73,1.5530000000000002,4500.0,4687.5,4312.5,4500.0,N,211212_0082,12.250033493,486.345223551,annotations,0,14.442723511000006,val,211212
5,Spectrogram 1,1,50.209948798,124.398489042,3076.923,3538.462,0.1471,461.539,-56.63,0.599,3375.0,3375.0,3187.5,3375.0,N,211212_0082,12.250033493,486.345223551,annotations,0,74.18854024400001,train,211212
6,Spectrogram 1,1,124.54554784,188.154642081,5846.154,6615.385,0.1544,769.2310000000001,-63.06,1.923,6187.5,6562.5,6000.0,6187.5,N,211212_0082,12.250033493,486.345223551,annotations,0,63.609094241,train,211212
7,Spectrogram 1,1,188.309053819,196.620892061,2923.077,3538.462,0.1471,615.385,-56.71,1.3730000000000002,3375.0,3375.0,3000.0,3375.0,N,211212_0082,12.250033493,486.345223551,annotations,0,8.311838241999965,train,211212
8,Spectrogram 1,1,196.767950859,208.369768563,4153.846,4769.231,0.2647,615.385,-58.66,1.156,4687.5,4687.5,4312.5,4687.5,N,211212_0082,12.250033493,486.345223551,annotations,0,11.601817703999956,val,211212
9,Spectrogram 1,1,208.63447439900003,221.177151061,2769.231,3384.615,0.2059,615.384,-64.04,1.857,3187.5,3375.0,2812.5,3187.5,N,211212_0082,12.250033493,486.345223551,annotations,0,12.542676661999964,train,211212
10,Spectrogram 1,1,221.383033378,231.172695697,2923.077,3538.462,0.2721,615.385,-63.56,1.466,3187.5,3375.0,3000.0,3187.5,N,211212_0082,12.250033493,486.345223551,annotations,0,9.789662319,val,211212
11,Spectrogram 1,1,231.444754473,234.471422537,3384.615,3692.308,0.2574,307.693,-61.09,0.0,3562.5,3562.5,3562.5,3562.5,N,211212_0082,12.250033493,486.345223551,annotations,0,3.026668064000006,train,211212
12,Spectrogram 1,1,234.728775433,249.946774552,3538.462,3846.154000000002,0.2647,307.692,-59.28,0.83,3562.5,3750.0,3562.5,3562.5,N,211212_0082,12.250033493,486.345223551,annotations,0,15.217999119000012,train,211212
13,Spectrogram 1,1,250.211480388,291.741813013,4769.231,5384.615,0.2574,615.384,-48.8,1.444,5250.0,5250.0,4875.0,5250.0,N,211212_0082,12.250033493,486.345223551,annotations,0,41.53033262500004,train,211212
14,Spectrogram 1,1,291.99916591,293.43328684700003,4153.846,4769.231,0.1544,615.385,-41.33,1.489,4500.0,4687.5,4312.5,4500.0,N,211212_0082,12.250033493,486.345223551,annotations,0,1.4341209370000456,val,211212
15,Spectrogram 1,1,293.587698585,368.807738615,2923.077,3538.462,0.1985,615.385,-61.55,1.58,3187.5,3375.0,3000.0,3187.5,N,211212_0082,12.250033493,486.345223551,annotations,0,75.22004003,train,211212
16,Spectrogram 1,1,369.0062679930001,370.587150071,4153.846,4769.231,0.1912,615.385,-57.65,1.524,4500.0,4687.5,4312.5,4500.0,N,211212_0082,12.250033493,486.345223551,annotations,0,1.580882077999945,val,211212
17,Spectrogram 1,1,370.778326508,388.763956983,4461.538,5076.923,0.125,615.385,-54.22,1.913,4687.5,5062.5,4500.0,4687.5,N,211212_0082,12.250033493,486.345223551,annotations,0,17.985630474999994,val,211212
18,Spectrogram 1,1,388.888956961,391.609544724,4000.0,5784.173000000002,0.1524,1784.1729999999998,-36.64,2.952,5250.0,5625.0,4312.5,5625.0,Y,211212_0082,12.250033493,486.345223551,annotations,0,2.720587763000026,train,211212
19,Spectrogram 1,1,391.761987614,407.783184997,4461.538,4923.077,0.2059,461.539,-47.38,1.371,4875.0,4875.0,4500.0,4875.0,N,211212_0082,12.250033493,486.345223551,annotations,0,16.021197382999958,train,211212
20,Spectrogram 1,1,407.989067314,410.399871195,3384.615,3846.154000000002,0.2059,461.539,-52.63,0.725,3562.5,3750.0,3562.5,3562.5,N,211212_0082,12.250033493,486.345223551,annotations,0,2.4108038809999925,train,211212
21,Spectrogram 1,1,410.605753512,428.129415269,3846.154000000002,4461.538,0.1324,615.384,-45.8,1.126,4312.5,4312.5,3937.5,4312.5,N,211212_0082,12.250033493,486.345223551,annotations,0,17.523661757000013,train,211212
22,Spectrogram 1,1,428.261768187,435.445010004,4000.0,5093.525,0.1691,1093.525,-45.87,1.72,4312.5,5062.5,4125.0,4312.5,Y,211212_0082,12.250033493,486.345223551,annotations,0,7.1832418170000665,val,211212
23,Spectrogram 1,1,435.614108987,455.079289073,3538.462,4402.878,0.1471,864.416,-59.49,2.111,4125.0,4312.5,3750.0,4312.5,N,211212_0082,12.250033493,486.345223551,annotations,0,19.46518008600009,val,211212
24,Spectrogram 1,1,455.226347871,474.745522379,4143.885,5846.154,0.1161,1702.269,-59.29,2.8710000000000004,5062.5,5812.5,4312.5,5062.5,N,211212_0082,12.250033493,486.345223551,annotations,0,19.51917450800005,train,211212
25,Spectrogram 1,1,474.861667116,486.190811813,3846.154000000002,4834.532,0.1544,988.378,-56.68,2.001,4312.5,4687.5,3937.5,4312.5,,211212_0082,12.250033493,486.345223551,annotations,0,11.32914469700006,train,211212
2,Spectrogram 1,1,216.839051612,233.253428974,4769.231,5076.923,0.2794,307.692,-46.99,0.928,5062.5,5062.5,4875.0,5062.5,N,211213_0083,216.655228115,474.399871108,annotations,0,16.414377361999982,train,211213
3,Spectrogram 1,1,233.53284069,285.083164351,4153.846,4615.385,0.1544,461.539,-53.75,0.999,4500.0,4500.0,4312.5,4312.5,N,211213_0083,216.655228115,474.399871108,annotations,0,51.55032366099999,val,211213
4,Spectrogram 1,1,285.237576089,285.42875252700003,3384.615,4153.846,0.1029,769.2310000000001,-49.6,1.841,3750.0,4125.0,3562.5,3750.0,N,211213_0083,216.655228115,474.399871108,annotations,0,0.1911764380000136,train,211213
5,Spectrogram 1,1,285.531693685,474.23075349,4000.0,4769.231,0.1691,769.2310000000001,-60.82,1.938,4500.0,4687.5,4125.0,4500.0,,211213_0083,216.655228115,474.399871108,annotations,0,188.699059805,train,211213
2,Spectrogram 1,1,81.743175361,88.417070265,4153.846,4769.231,0.104,615.385,-60.45,,,,,,N,211213_0084,81.607993205,600.7985079590001,annotations,0,6.673894904000008,train,211213
3,Spectrogram 1,1,88.521056539,147.654559159,3846.154000000002,5230.769,0.2912,1384.615,-49.09,,,,,,N,211213_0084,81.607993205,600.7985079590001,annotations,0,59.13350262,val,211213
4,Spectrogram 1,1,147.94572072399998,159.47252816399998,3846.154000000002,4615.385,0.1196,769.2310000000001,-54.31,,,,,,N,211213_0084,81.607993205,600.7985079590001,annotations,0,11.52680744,train,211213
5,Spectrogram 1,1,159.592112378,338.304401023,3692.308,4461.538,0.1664,769.23,-61.38,,,,,,N,211213_0084,81.607993205,600.7985079590001,annotations,0,178.71228864499997,train,211213
6,Spectrogram 1,1,338.47077906,338.678751607,4307.692,5076.923,0.0832,769.2310000000001,-58.72,,,,,,N,211213_0084,81.607993205,600.7985079590001,annotations,0,0.2079725469999971,val,211213
7,Spectrogram 1,1,338.761940625,600.6529271759999,4461.538,5076.923,0.1456,615.385,-53.58,,,,,,,211213_0084,81.607993205,600.7985079590001,annotations,0,261.8909865509999,train,211213
2,Spectrogram 1,1,40.439703841,69.448186398,3230.769,4230.215999999999,0.2749,999.447,-55.87,1.909,3750.0,4125.0,3375.0,3562.5,N,211213_0086,40.180549659,378.415444014,annotations,0,29.00848255700001,train,211213
3,Spectrogram 1,1,69.723081045,70.491619408,4615.385,4923.077,0.1397,307.692,-62.8,0.919,4875.0,4875.0,4687.5,4875.0,N,211213_0086,40.180549659,378.415444014,annotations,0,0.7685383630000047,train,211213
4,Spectrogram 1,1,70.631325266,72.44501657100001,3453.237,4461.538,0.2756,1008.301,-57.23,1.931,3937.5,4312.5,3562.5,3937.5,Y,211213_0086,40.180549659,378.415444014,annotations,0,1.8136913050000056,train,211213
5,Spectrogram 1,1,72.720613257,81.067452762,3078.03,4001.107,0.2629,923.077,-52.74,1.586,3562.5,3937.5,3562.5,3562.5,N,211213_0086,40.180549659,378.415444014,annotations,0,8.346839505000005,val,211213
6,Spectrogram 1,1,81.330394263,90.988786212,3049.807,3511.345,0.3015,461.538,-58.86,0.989,3375.0,3375.0,3187.5,3187.5,N,211213_0086,40.180549659,378.415444014,annotations,0,9.658391949000006,train,211213
7,Spectrogram 1,1,91.290256747,92.481586894,4449.917,5352.518,0.1425,902.601,-55.48,1.954,5062.5,5250.0,4500.0,5062.5,Y,211213_0086,40.180549659,378.415444014,annotations,0,1.1913301470000022,val,211213
8,Spectrogram 1,1,92.62408874,143.77591738,2769.231,3798.561,0.2147,1029.33,-38.87,2.4130000000000003,3000.0,3750.0,2812.5,3000.0,N,211213_0086,40.180549659,378.415444014,annotations,0,51.15182864000001,train,211213
9,Spectrogram 1,1,143.990602903,243.069127774,5526.316,6631.5790000000015,0.1985,1105.263,-55.05,1.819,6562.5,6562.5,5625.0,6187.5,N,211213_0086,40.180549659,378.415444014,annotations,0,99.078524871,train,211213
10,Spectrogram 1,1,243.267657151,291.026205684,3473.684,3947.368,0.1838,473.684,-49.04,1.535,3750.0,3937.5,3562.5,3562.5,N,211213_0086,40.180549659,378.415444014,annotations,0,47.75854853300001,train,211213
11,Spectrogram 1,1,291.210029182,298.217716582,3473.684,3971.223,0.2326,497.539,-47.05,1.311,3750.0,3937.5,3562.5,3750.0,Y,211213_0086,40.180549659,378.415444014,annotations,0,7.007687399999952,train,211213
12,Spectrogram 1,1,298.450322586,378.172824709,3157.895,4057.554,0.2426,899.659,-45.79,1.705,3562.5,3937.5,3187.5,3562.5,,211213_0086,40.180549659,378.415444014,annotations,0,79.72250212300003,train,211213
2,Spectrogram 1,1,16.946119598,18.654931557,8615.385,9538.462,0.1985,923.077,-62.08,2.011,9187.5,9375.0,8812.5,9187.5,N,211220_0089,16.80641374,592.838683391,annotations,0,1.708811959000002,val,211220
3,Spectrogram 1,1,18.853460934,23.335757943,3384.615,4153.846,0.1912,769.2310000000001,-61.09,1.754,3750.0,4125.0,3562.5,3750.0,N,211220_0089,16.80641374,592.838683391,annotations,0,4.482297009,val,211220
4,Spectrogram 1,1,23.52693438,33.572916602,3107.914,4057.554,0.3456,949.64,-47.61,1.4780000000000002,3562.5,3937.5,3187.5,3562.5,Y,211220_0089,16.80641374,592.838683391,annotations,0,10.045982222,val,211220
5,Spectrogram 1,1,33.918504776999995,39.499137086,2935.252,4057.554,0.2823,1122.302,-47.73,1.49,3562.5,3937.5,3000.0,3562.5,N,211220_0089,16.80641374,592.838683391,annotations,0,5.580632309000002,train,211220
6,Spectrogram 1,1,39.781457891,62.450892712,3384.615,4153.846,0.1471,769.2310000000001,-51.39,1.723,3937.5,4125.0,3562.5,3937.5,N,211220_0089,16.80641374,592.838683391,annotations,0,22.669434821,val,211220
7,Spectrogram 1,1,62.59795151,70.424341528,3538.462,4153.846,0.0882,615.384,-63.55,1.834,3937.5,4125.0,3562.5,3937.5,N,211220_0089,16.80641374,592.838683391,annotations,0,7.826390017999997,train,211220
8,Spectrogram 1,1,70.512576807,113.973970907,3384.615,4307.692,0.125,923.077,-66.34,1.934,3937.5,4125.0,3562.5,3937.5,N,211220_0089,16.80641374,592.838683391,annotations,0,43.46139410000001,train,211220
9,Spectrogram 1,1,114.098970885,137.467400471,2923.077,3692.308,0.1176,769.2310000000001,-59.09,1.651,3375.0,3562.5,3000.0,3375.0,N,211220_0089,16.80641374,592.838683391,annotations,0,23.36842958599999,val,211220
10,Spectrogram 1,1,137.585047509,383.582928983,3384.615,4000.0,0.1103,615.385,-60.5,1.44,3750.0,3937.5,3562.5,3937.5,N,211220_0089,16.80641374,592.838683391,annotations,0,245.997881474,val,211220
11,Spectrogram 1,1,383.693223082,579.039975272,3384.615,4000.0,0.1397,615.385,-47.97,1.465,3750.0,3937.5,3562.5,3750.0,N,211220_0089,16.80641374,592.838683391,annotations,0,195.34675219,train,211220
